;immo_id;year;month;day;title;url;city;postcode;quarter;street;lat;lng;realtorCompanyName;balcony;builtInKitchen;energyEfficiencyClass;cellar;garden;guestToilet;lift;livingSpace;numberOfRooms;additional_costs;value;house_money;year_of_construction;provision;provision_percent;land_transfer;land_transfer_percent;notary;notary_percent;entry_land;entry_land_percent;rent;prediction
0;118357961;2020;5;31;Top-Lage zum Schnäppchenpreis: Sanierungsbedürftige 2-Zimmer-Wohnung mit Balkon & Garage in Brechten;https://www.immobilienscout24.de/expose/118357961;Dortmund;44339;Brechten;;0,0;0,0;KOBA Immobilien GmbH;true;false;;false;false;false;false;64,0;2,0;0,0;89000,0;150,0;1980;3177,3;3,57;5785,0;6,5;1335,0;1,5;445,0;0,5;0,0;456,1166687011719
1;117810775;2020;5;31;Erdgeschosswohnung mit 2 Garagen;https://www.immobilienscout24.de/expose/117810775;Dortmund;44329;Lanstrop;Hafnerstr.;51,57781;7,56171;Immobilien Schütz;true;false;;false;true;false;false;72,0;3,0;0,0;149000,0;0,0;1964;7092,4;4,76;9685,0;6,5;2235,0;1,5;745,0;0,5;0,0;549,36767578125
2;117052263;2020;5;31;++Eigentumswohnung in sehr ruhiger und gepflegter Lage! Dortmund-Wellinghofen! ++;https://www.immobilienscout24.de/expose/117052263;Dortmund;44265;Niederhofen;Godefriedstr. ;51,46223;7,50041;DIS - Deutsche Immobilien Service GmbH;true;false;;false;false;false;false;59,67;3,0;0,0;79900,0;221,0;1963;3803,24;4,76;5193,5;6,5;1198,5;1,5;399,5;0,5;0,0;410,5246887207031
3;118599037;2020;5;31;Gesucht. Gefunden. Gekauft! Machen Sie es sich gemütlich.;https://www.immobilienscout24.de/expose/118599037;Dortmund;44388;Lütgendortmund;;0,0;0,0;CENTURY 21 Schmittmann & Kollegen;true;false;E;true;false;false;false;80,35;3,5;0,0;119000,0;0,0;1970;5664,4;4,76;7735,0;6,5;1785,0;1,5;595,0;0,5;0,0;656,7644653320312
4;116644933;2020;5;31;Für Kapitalanleger oder Selbstnutzer:   Eigentumswohnung mit Balkon - Dortmund-Neuasseln;https://www.immobilienscout24.de/expose/116644933;Dortmund;44309;Neuasseln;;0,0;0,0;J. T. Jürgen Trunk Immobilien GmbH;true;false;D;true;false;false;false;47,0;2,0;0,0;79000,0;0,0;1973;2820,3;3,57;5135,0;6,5;1185,0;1,5;395,0;0,5;0,0;380,7889099121094
5;117034765;2020;5;31;LORENZ-Angebot in Dortmund/Gr. BO:  Ideal für die zukunftsorientierte Familie.!2 WE, 1 frei,1 verm.;https://www.immobilienscout24.de/expose/117034765;Dortmund;44388;Holte;;0,0;0,0;IMMOBILIEN LORENZ;false;false;;true;true;false;false;145,0;5,5;0,0;137800,0;600,0;1910;6559,28;4,76;8957,0;6,5;2067,0;1,5;689,0;0,5;360,0;1236,666015625
6;113072507;2020;5;31;"Eigentum statt Negativzins JETZT - 
3 Zi. ETW in Do Oestrich";https://www.immobilienscout24.de/expose/113072507;Dortmund;44357;Oestrich;;0,0;0,0;Immobilien & Service  Richter e.K.;true;false;;false;false;false;false;76,24;3,0;0,0;90000,0;297,0;1973;0,0;0,0;5850,0;6,5;1350,0;1,5;450,0;0,5;401,5;574,5247802734375
7;114680814;2020;5;31;! Zwangsversteigerung! freie 2-Zimmer ETW in Dortmund - ohne Erwerbecourtage;https://www.immobilienscout24.de/expose/114680814;Dortmund;44369;Rahm;;0,0;0,0;Postbank Immobilien GmbH;false;false;;true;false;false;true;67,0;2,0;0,0;54000,0;216,0;1973;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;445,3540344238281
8;117044162;2020;5;31;LORENZ-Angebot in Dortmund/Gr. BO:  2 1/2-R.-W. - Ideal für Single o. Paar. Und Handwerker!;https://www.immobilienscout24.de/expose/117044162;Dortmund;44388;Holte;;0,0;0,0;IMMOBILIEN LORENZ;false;false;;true;true;false;false;72,5;2,5;0,0;64800,0;290,0;1910;3084,48;4,76;4212,0;6,5;972,0;1,5;324,0;0,5;0,0;505,4190979003906
9;118906395;2020;5;31;Stadtwohnung. Ruhigen Herzschlags am Puls des Geschehens.;https://www.immobilienscout24.de/expose/118906395;Dortmund;44139;Innenstadt;;0,0;0,0;CENTURY 21 Schmittmann & Kollegen;true;false;D;true;false;false;false;62,0;3,0;0,0;129000,0;0,0;1954;6140,4;4,76;8385,0;6,5;1935,0;1,5;645,0;0,5;0,0;430,0842590332031
